medallion, hack_license, vendor_id, pickup_datetime, payment_type, fare_amount, surcharge, mta_tax, tip_amount, tolls_amount, total_amount
0036961468659D0BFC7241D92E8ED865,81CC8B6AF6BB10FD816487AC556880F6,VTS,1/13/2013 11:46,CSH,12.5,0,0.5,0,0,13
0036961468659D0BFC7241D92E8ED865,81CC8B6AF6BB10FD816487AC556880F6,VTS,1/13/2013 14:12,CRD,6.5,0,0.5,0.85,0,7.85
0038EF45118925A510975FD0CCD67192,4B080623EC9AFBE72D1FEF6C40D019E8,VTS,1/13/2013 11:12,CSH,4.5,0,0.5,0,0,5
0038EF45118925A510975FD0CCD67192,4B080623EC9AFBE72D1FEF6C40D019E8,VTS,1/13/2013 9:20,CSH,6.5,0,0.5,0,0,7
0038EF45118925A510975FD0CCD67192,6AC19922A9FDA1FCF904B907DF8C553A,VTS,1/13/2013 3:23,CRD,16,0.5,0.5,0,0,17
0038EF45118925A510975FD0CCD67192,4B080623EC9AFBE72D1FEF6C40D019E8,VTS,1/13/2013 9:51,CRD,4.5,0,0.5,0.9,0,5.9
0038EF45118925A510975FD0CCD67192,4B080623EC9AFBE72D1FEF6C40D019E8,VTS,1/13/2013 11:29,CRD,8,0,0.5,2,0,10.5
0038EF45118925A510975FD0CCD67192,4B080623EC9AFBE72D1FEF6C40D019E8,VTS,1/13/2013 13:08,CRD,17,0,0.5,3.4,0,20.9
0038EF45118925A510975FD0CCD67192,4B080623EC9AFBE72D1FEF6C40D019E8,VTS,1/13/2013 10:36,CRD,10,0,0.5,2,0,12.5
0038EF45118925A510975FD0CCD67192,4B080623EC9AFBE72D1FEF6C40D019E8,VTS,1/13/2013 12:14,CSH,5,0,0.5,0,0,5.5
0038EF45118925A510975FD0CCD67192,4B080623EC9AFBE72D1FEF6C40D019E8,VTS,1/13/2013 10:08,CRD,17.5,0,0.5,1,0,19
0038EF45118925A510975FD0CCD67192,4B080623EC9AFBE72D1FEF6C40D019E8,VTS,1/13/2013 11:39,CSH,7,0,0.5,0,0,7.5
0038EF45118925A510975FD0CCD67192,4B080623EC9AFBE72D1FEF6C40D019E8,VTS,1/13/2013 14:15,CRD,10,0,0.5,1,0,11.5
0038EF45118925A510975FD0CCD67192,4B080623EC9AFBE72D1FEF6C40D019E8,VTS,1/13/2013 12:20,CRD,6.5,0,0.5,1.3,0,8.3
0038EF45118925A510975FD0CCD67192,4B080623EC9AFBE72D1FEF6C40D019E8,VTS,1/13/2013 12:55,CSH,5.5,0,0.5,0,0,6
0038EF45118925A510975FD0CCD67192,4B080623EC9AFBE72D1FEF6C40D019E8,VTS,1/13/2013 15:41,CSH,5.5,0,0.5,0,0,6
003D87DB553C6F00F774C8575BC8444A,C61317837B26954B50CEAE75D70C47BA,VTS,1/13/2013 11:54,CSH,7,0,0.5,0,0,7.5
003D87DB553C6F00F774C8575BC8444A,C61317837B26954B50CEAE75D70C47BA,VTS,1/13/2013 11:17,CRD,11,0,0.5,2.2,0,13.7
003D87DB553C6F00F774C8575BC8444A,C61317837B26954B50CEAE75D70C47BA,VTS,1/13/2013 12:02,CRD,5,0,0.5,1,0,6.5
003D87DB553C6F00F774C8575BC8444A,C61317837B26954B50CEAE75D70C47BA,VTS,1/13/2013 12:51,CSH,10,0,0.5,0,0,10.5
003D87DB553C6F00F774C8575BC8444A,C61317837B26954B50CEAE75D70C47BA,VTS,1/13/2013 12:28,CSH,4,0,0.5,0,0,4.5
003D87DB553C6F00F774C8575BC8444A,C61317837B26954B50CEAE75D70C47BA,VTS,1/13/2013 13:02,CRD,6,0,0.5,0.8,0,7.3
003D87DB553C6F00F774C8575BC8444A,C61317837B26954B50CEAE75D70C47BA,VTS,1/13/2013 12:11,CSH,11,0,0.5,0,0,11.5
003D87DB553C6F00F774C8575BC8444A,C61317837B26954B50CEAE75D70C47BA,VTS,1/13/2013 15:29,CRD,5.5,0,0.5,1.65,0,7.65
003D87DB553C6F00F774C8575BC8444A,C61317837B26954B50CEAE75D70C47BA,VTS,1/13/2013 14:57,CSH,3.5,0,0.5,0,0,4
003EEA559FA61800874D4F6805C4A084,E044B7018A00058C7BCA0EE8005D3FD9,VTS,1/13/2013 7:00,CSH,7,0,0.5,0,0,7.5
003EEA559FA61800874D4F6805C4A084,CD92B72D14A3A88FE135641B51BD9F57,VTS,1/13/2013 3:25,CSH,8,0.5,0.5,0,0,9
003EEA559FA61800874D4F6805C4A084,E044B7018A00058C7BCA0EE8005D3FD9,VTS,1/13/2013 7:08,CSH,7,0,0.5,0,0,7.5
003EEA559FA61800874D4F6805C4A084,E044B7018A00058C7BCA0EE8005D3FD9,VTS,1/13/2013 11:16,CRD,8,0,0.5,1.5,0,10
003EEA559FA61800874D4F6805C4A084,E044B7018A00058C7BCA0EE8005D3FD9,VTS,1/13/2013 10:48,CRD,30.5,0,0.5,7.62,4.8,43.42
003EEA559FA61800874D4F6805C4A084,E044B7018A00058C7BCA0EE8005D3FD9,VTS,1/13/2013 13:08,CRD,52,0,0.5,10.4,4.8,67.7
003EEA559FA61800874D4F6805C4A084,E044B7018A00058C7BCA0EE8005D3FD9,VTS,1/13/2013 7:25,CRD,4.5,0,0.5,1,0,6
003EEA559FA61800874D4F6805C4A084,E044B7018A00058C7BCA0EE8005D3FD9,VTS,1/13/2013 12:00,CSH,10,0,0.5,0,0,10.5
003EEA559FA61800874D4F6805C4A084,E044B7018A00058C7BCA0EE8005D3FD9,VTS,1/13/2013 11:36,CRD,6.5,0,0.5,1.3,0,8.3
003EEA559FA61800874D4F6805C4A084,E044B7018A00058C7BCA0EE8005D3FD9,VTS,1/13/2013 11:42,CRD,4,0,0.5,0.8,0,5.3
003EEA559FA61800874D4F6805C4A084,E044B7018A00058C7BCA0EE8005D3FD9,VTS,1/13/2013 8:06,CSH,33,0,0.5,0,0,33.5
003EEA559FA61800874D4F6805C4A084,E044B7018A00058C7BCA0EE8005D3FD9,VTS,1/13/2013 12:51,CSH,11,0,0.5,0,0,11.5
003EEA559FA61800874D4F6805C4A084,E044B7018A00058C7BCA0EE8005D3FD9,VTS,1/13/2013 12:13,CSH,11,0,0.5,0,0,11.5
003EEA559FA61800874D4F6805C4A084,E044B7018A00058C7BCA0EE8005D3FD9,VTS,1/13/2013 11:53,CRD,7,0,0.5,1.4,0,8.9
003EEA559FA61800874D4F6805C4A084,E044B7018A00058C7BCA0EE8005D3FD9,VTS,1/13/2013 7:55,CSH,9.5,0,0.5,0,0,10
0053334C798EC6C8E637657962030F99,AC901C98FCFA6109186500A50E95AEDE,VTS,1/13/2013 11:06,CRD,8.5,0,0.5,2.12,0,11.12
0053334C798EC6C8E637657962030F99,AC901C98FCFA6109186500A50E95AEDE,VTS,1/13/2013 11:56,CRD,13,0,0.5,3.25,0,16.75
0053334C798EC6C8E637657962030F99,AC901C98FCFA6109186500A50E95AEDE,VTS,1/13/2013 12:10,CRD,5.5,0,0.5,1,0,7
0053334C798EC6C8E637657962030F99,AC901C98FCFA6109186500A50E95AEDE,VTS,1/13/2013 11:18,CRD,27,0,0.5,5.4,4.8,37.7
005DED7D6E6C45441C26981DCFBED992,5154ADC3191C112C025F82F543DBF040,VTS,1/13/2013 11:16,CSH,52,0,0.5,0,0,52.5
005DED7D6E6C45441C26981DCFBED992,5154ADC3191C112C025F82F543DBF040,VTS,1/13/2013 10:53,CSH,12,0,0.5,0,0,12.5
005DED7D6E6C45441C26981DCFBED992,5154ADC3191C112C025F82F543DBF040,VTS,1/13/2013 13:19,CSH,14.5,0,0.5,0,0,15
005DED7D6E6C45441C26981DCFBED992,5154ADC3191C112C025F82F543DBF040,VTS,1/13/2013 12:45,CSH,8.5,0,0.5,0,0,9
005DED7D6E6C45441C26981DCFBED992,5154ADC3191C112C025F82F543DBF040,VTS,1/13/2013 13:39,CRD,7.5,0,0.5,3,0,11
005DED7D6E6C45441C26981DCFBED992,5154ADC3191C112C025F82F543DBF040,VTS,1/13/2013 13:03,CRD,12,0,0.5,1.5,0,14
005DED7D6E6C45441C26981DCFBED992,5154ADC3191C112C025F82F543DBF040,VTS,1/13/2013 12:34,CRD,8,0,0.5,1.6,0,10.1
005F00B38F46E2100F4A5D0B6AAAD3AC,D20053F0E7674F1514A581440ED7D348,VTS,1/13/2013 4:42,CRD,14.5,0.5,0.5,2,0,17.5
005F00B38F46E2100F4A5D0B6AAAD3AC,272B27E01EBAF44C157D53BDCC16FEE6,VTS,1/13/2013 11:43,CRD,37.5,0,0.5,9.38,4.8,52.18
005F00B38F46E2100F4A5D0B6AAAD3AC,D20053F0E7674F1514A581440ED7D348,VTS,1/13/2013 2:30,CSH,12.5,0.5,0.5,0,0,13.5
005F00B38F46E2100F4A5D0B6AAAD3AC,272B27E01EBAF44C157D53BDCC16FEE6,VTS,1/13/2013 11:03,CRD,25,0,0.5,5,0,30.5
005F00B38F46E2100F4A5D0B6AAAD3AC,272B27E01EBAF44C157D53BDCC16FEE6,VTS,1/13/2013 8:12,CSH,4.5,0,0.5,0,0,5
005F00B38F46E2100F4A5D0B6AAAD3AC,272B27E01EBAF44C157D53BDCC16FEE6,VTS,1/13/2013 10:39,CSH,6,0,0.5,0,0,6.5
005F00B38F46E2100F4A5D0B6AAAD3AC,272B27E01EBAF44C157D53BDCC16FEE6,VTS,1/13/2013 13:05,CSH,39,0,0.5,0,4.8,44.3
005F00B38F46E2100F4A5D0B6AAAD3AC,272B27E01EBAF44C157D53BDCC16FEE6,VTS,1/13/2013 10:48,CSH,10.5,0,0.5,0,0,11
005F00B38F46E2100F4A5D0B6AAAD3AC,272B27E01EBAF44C157D53BDCC16FEE6,VTS,1/13/2013 7:46,CRD,8.5,0,0.5,1,0,10
005F00B38F46E2100F4A5D0B6AAAD3AC,272B27E01EBAF44C157D53BDCC16FEE6,VTS,1/13/2013 7:55,CRD,7.5,0,0.5,1.5,0,9.5
005F00B38F46E2100F4A5D0B6AAAD3AC,272B27E01EBAF44C157D53BDCC16FEE6,VTS,1/13/2013 11:30,CSH,7.5,0,0.5,0,0,8
005F00B38F46E2100F4A5D0B6AAAD3AC,272B27E01EBAF44C157D53BDCC16FEE6,VTS,1/13/2013 13:57,CRD,15,0,0.5,1.5,0,17
005F00B38F46E2100F4A5D0B6AAAD3AC,272B27E01EBAF44C157D53BDCC16FEE6,VTS,1/13/2013 8:20,CRD,15.5,0,0.5,2,0,18
005F00B38F46E2100F4A5D0B6AAAD3AC,272B27E01EBAF44C157D53BDCC16FEE6,VTS,1/13/2013 10:06,CRD,12,0,0.5,1,0,13.5
005F00B38F46E2100F4A5D0B6AAAD3AC,272B27E01EBAF44C157D53BDCC16FEE6,VTS,1/13/2013 14:51,CSH,9,0,0.5,0,0,9.5
0067C755A2988CB8FA17AFCFE987B6A1,463149DEA8133A6FE8B5717508198FB9,VTS,1/13/2013 3:27,CSH,9.5,0.5,0.5,0,0,10.5
00790C7BAD30B7A9E09689A13ED90042,F532BF602E32383CEF320E3E569536D2,VTS,1/13/2013 10:13,CSH,13.5,0,0.5,0,0,14
00790C7BAD30B7A9E09689A13ED90042,F532BF602E32383CEF320E3E569536D2,VTS,1/13/2013 6:53,CSH,12.5,0,0.5,0,0,13
00790C7BAD30B7A9E09689A13ED90042,F532BF602E32383CEF320E3E569536D2,VTS,1/13/2013 11:54,CRD,16,0,0.5,3.2,0,19.7
00790C7BAD30B7A9E09689A13ED90042,F532BF602E32383CEF320E3E569536D2,VTS,1/13/2013 8:12,CSH,3.5,0,0.5,0,0,4
00790C7BAD30B7A9E09689A13ED90042,F532BF602E32383CEF320E3E569536D2,VTS,1/13/2013 9:47,CSH,4.5,0,0.5,0,0,5
00790C7BAD30B7A9E09689A13ED90042,F532BF602E32383CEF320E3E569536D2,VTS,1/13/2013 9:51,CRD,6.5,0,0.5,1,0,8
00790C7BAD30B7A9E09689A13ED90042,3EF1ED607505C991D26C703B2C8F9849,VTS,1/13/2013 2:45,CSH,6.5,0.5,0.5,0,0,7.5
00790C7BAD30B7A9E09689A13ED90042,F532BF602E32383CEF320E3E569536D2,VTS,1/13/2013 12:17,CRD,9,0,0.5,1.8,0,11.3
00790C7BAD30B7A9E09689A13ED90042,F532BF602E32383CEF320E3E569536D2,VTS,1/13/2013 12:12,CSH,5,0,0.5,0,0,5.5
0081EFFCBB2AD30F9D85B3A07F5EAB45,4D42F0EB603CC39CCD21473A14FB5E6E,VTS,1/13/2013 4:37,CSH,11,0.5,0.5,0,0,12
0081EFFCBB2AD30F9D85B3A07F5EAB45,0D7D469D08E8CCAF4EC3B8C020463C74,VTS,1/13/2013 10:25,CRD,4.5,0,0.5,0.9,0,5.9
0081EFFCBB2AD30F9D85B3A07F5EAB45,0D7D469D08E8CCAF4EC3B8C020463C74,VTS,1/13/2013 6:52,CRD,12.5,0,0.5,3.12,0,16.12
0081EFFCBB2AD30F9D85B3A07F5EAB45,0D7D469D08E8CCAF4EC3B8C020463C74,VTS,1/13/2013 10:33,CSH,9,0,0.5,0,0,9.5
0081EFFCBB2AD30F9D85B3A07F5EAB45,0D7D469D08E8CCAF4EC3B8C020463C74,VTS,1/13/2013 10:44,CRD,17,0,0.5,3.4,0,20.9
0081EFFCBB2AD30F9D85B3A07F5EAB45,4D42F0EB603CC39CCD21473A14FB5E6E,VTS,1/13/2013 2:41,CRD,8.5,0.5,0.5,1.8,0,11.3
0081EFFCBB2AD30F9D85B3A07F5EAB45,0D7D469D08E8CCAF4EC3B8C020463C74,VTS,1/13/2013 9:41,CRD,8,0,0.5,1.5,0,10
0081EFFCBB2AD30F9D85B3A07F5EAB45,0D7D469D08E8CCAF4EC3B8C020463C74,VTS,1/13/2013 7:16,CSH,8.5,0,0.5,0,0,9
0081EFFCBB2AD30F9D85B3A07F5EAB45,0D7D469D08E8CCAF4EC3B8C020463C74,VTS,1/13/2013 10:00,CRD,5.5,0,0.5,1.1,0,7.1
0081EFFCBB2AD30F9D85B3A07F5EAB45,0D7D469D08E8CCAF4EC3B8C020463C74,VTS,1/13/2013 10:08,CRD,4.5,0,0.5,0.9,0,5.9
0081EFFCBB2AD30F9D85B3A07F5EAB45,0D7D469D08E8CCAF4EC3B8C020463C74,VTS,1/13/2013 13:06,CRD,52,0,0.5,4,4.8,61.3
0081EFFCBB2AD30F9D85B3A07F5EAB45,0D7D469D08E8CCAF4EC3B8C020463C74,VTS,1/13/2013 10:58,CSH,10.5,0,0.5,0,0,11
0081EFFCBB2AD30F9D85B3A07F5EAB45,0D7D469D08E8CCAF4EC3B8C020463C74,VTS,1/13/2013 8:01,CRD,7.5,0,0.5,1,0,9
0081EFFCBB2AD30F9D85B3A07F5EAB45,0D7D469D08E8CCAF4EC3B8C020463C74,VTS,1/13/2013 11:16,CRD,52,0,0.5,15.6,4.8,72.9
0081EFFCBB2AD30F9D85B3A07F5EAB45,0D7D469D08E8CCAF4EC3B8C020463C74,VTS,1/13/2013 8:18,CSH,5,0,0.5,0,0,5.5
00891E0B23CDA09C34A4E9B91B46E8A6,A2846E055002B0A60C805B78C1360F9E,VTS,1/13/2013 4:38,CRD,11,0.5,0.5,2.3,0,14.3
00891E0B23CDA09C34A4E9B91B46E8A6,14E211F38BCAE926779DDD0F29B50D92,VTS,1/13/2013 11:17,CSH,4.5,0,0.5,0,0,5
00891E0B23CDA09C34A4E9B91B46E8A6,14E211F38BCAE926779DDD0F29B50D92,VTS,1/13/2013 10:57,CRD,6,0,0.5,1.5,0,8
00891E0B23CDA09C34A4E9B91B46E8A6,14E211F38BCAE926779DDD0F29B50D92,VTS,1/13/2013 11:37,CRD,8,0,0.5,1.6,0,10.1
00891E0B23CDA09C34A4E9B91B46E8A6,14E211F38BCAE926779DDD0F29B50D92,VTS,1/13/2013 11:59,CRD,4.5,0,0.5,0.9,0,5.9
00891E0B23CDA09C34A4E9B91B46E8A6,14E211F38BCAE926779DDD0F29B50D92,VTS,1/13/2013 12:53,CRD,17.5,0,0.5,3.5,0,21.5
00891E0B23CDA09C34A4E9B91B46E8A6,14E211F38BCAE926779DDD0F29B50D92,VTS,1/13/2013 11:10,CSH,8,0,0.5,0,0,8.5
00891E0B23CDA09C34A4E9B91B46E8A6,14E211F38BCAE926779DDD0F29B50D92,VTS,1/13/2013 12:23,CSH,7,0,0.5,0,0,7.5
00891E0B23CDA09C34A4E9B91B46E8A6,14E211F38BCAE926779DDD0F29B50D92,BTS,1/13/2013 13:43,CSH,6.5,0,0.5,0,0,7
00891E0B23CDA09C34A4E9B91B46E8A6,14E211F38BCAE926779DDD0F29B50D92,BTS,1/13/2013 14:14,CRD,6.5,0,0.5,1.62,0,8.62
0094A03FFE6BAFBE0B966B1445B9B50B,E5791F2A2F7DDF017CF77E81C28D92DA,BTS,1/13/2013 3:47,CRD,11.5,0.5,0.5,2.4,0,14.9
0094A03FFE6BAFBE0B966B1445B9B50B,E5791F2A2F7DDF017CF77E81C28D92DA,BTS,1/13/2013 2:40,CSH,10,0.5,0.5,0,0,11
009D3CCA83486B03FCE736A2F642CBA8,ADC5D4DBF297A7E208D3475CEDEECCE2,BTS,1/13/2013 6:24,CSH,6.5,0,0.5,0,0,7
009D3CCA83486B03FCE736A2F642CBA8,ADC5D4DBF297A7E208D3475CEDEECCE2,BTS,1/13/2013 9:27,CSH,10.5,0,0.5,0,0,11
009D3CCA83486B03FCE736A2F642CBA8,ADC5D4DBF297A7E208D3475CEDEECCE2,BTS,1/13/2013 10:38,CRD,6,0,0.5,1.5,0,8
009D3CCA83486B03FCE736A2F642CBA8,ADC5D4DBF297A7E208D3475CEDEECCE2,BTS,1/13/2013 7:26,CSH,11,0,0.5,0,0,11.5
009D3CCA83486B03FCE736A2F642CBA8,68E0761F7B986FA601D6C721DC0B220A,BTS,1/13/2013 2:41,CSH,7.5,0.5,0.5,0,0,8.5
009D3CCA83486B03FCE736A2F642CBA8,ADC5D4DBF297A7E208D3475CEDEECCE2,BTS,1/13/2013 11:57,CSH,7,0,0.5,0,0,7.5
009D3CCA83486B03FCE736A2F642CBA8,ADC5D4DBF297A7E208D3475CEDEECCE2,BTS,1/13/2013 9:59,CSH,5,0,0.5,0,0,5.5
009D3CCA83486B03FCE736A2F642CBA8,ADC5D4DBF297A7E208D3475CEDEECCE2,BTS,1/13/2013 11:17,CRD,6,0,0.5,1.2,0,7.7
009D3CCA83486B03FCE736A2F642CBA8,ADC5D4DBF297A7E208D3475CEDEECCE2,BTS,1/13/2013 10:57,CRD,4.5,0,0.5,0.9,0,5.9
009D3CCA83486B03FCE736A2F642CBA8,ADC5D4DBF297A7E208D3475CEDEECCE2,BTS,1/13/2013 11:25,CSH,9,0,0.5,0,0,9.5
009D3CCA83486B03FCE736A2F642CBA8,ADC5D4DBF297A7E208D3475CEDEECCE2,BTS,1/13/2013 12:13,CRD,8.5,0,0.5,1.7,0,10.7
009D3CCA83486B03FCE736A2F642CBA8,ADC5D4DBF297A7E208D3475CEDEECCE2,BTS,1/13/2013 12:25,CSH,7,0,0.5,0,0,7.5
009D3CCA83486B03FCE736A2F642CBA8,ADC5D4DBF297A7E208D3475CEDEECCE2,BTS,1/13/2013 8:11,CSH,13.5,0,0.5,0,0,14
009D3CCA83486B03FCE736A2F642CBA8,ADC5D4DBF297A7E208D3475CEDEECCE2,BTS,1/13/2013 12:47,CSH,9,0,0.5,0,0,9.5
009D3CCA83486B03FCE736A2F642CBA8,ADC5D4DBF297A7E208D3475CEDEECCE2,BTS,1/13/2013 12:59,CSH,8,0,0.5,0,0,8.5
009D3CCA83486B03FCE736A2F642CBA8,ADC5D4DBF297A7E208D3475CEDEECCE2,BTS,1/13/2013 12:34,CRD,9.5,0,0.5,2.38,0,12.38
009D3CCA83486B03FCE736A2F642CBA8,ADC5D4DBF297A7E208D3475CEDEECCE2,BTS,1/13/2013 11:48,CRD,5.5,0,0.5,1,0,7
009D3CCA83486B03FCE736A2F642CBA8,ADC5D4DBF297A7E208D3475CEDEECCE2,BTS,1/13/2013 14:54,CRD,7,0,0.5,1.4,0,8.9
00A49907F0F143BD43111FEA38F43DFC,2848E7783992BBF2107F3D259B63EFE3,BTS,1/13/2013 3:39,CRD,21,0.5,0.5,2,0,24
00A49907F0F143BD43111FEA38F43DFC,2848E7783992BBF2107F3D259B63EFE3,BTS,1/13/2013 4:21,CSH,37,0.5,0.5,0,0,38
00A49907F0F143BD43111FEA38F43DFC,2848E7783992BBF2107F3D259B63EFE3,BTS,1/13/2013 9:36,CSH,31.5,0,0.5,0,4.8,36.8
00A49907F0F143BD43111FEA38F43DFC,F3CEB349EA6AF845944F757958EFB9E9,BTS,1/13/2013 13:12,CRD,34.5,0,0.5,6.9,4.8,46.7
00A49907F0F143BD43111FEA38F43DFC,F3CEB349EA6AF845944F757958EFB9E9,BTS,1/13/2013 14:21,CSH,6.5,0,0.5,0,0,7
00A74F4CAB098B3A345A580BFCEEA467,FA1FF1C282929028D8DFC13A87B23E04,BTS,1/13/2013 10:34,CRD,3.5,0,0.5,1.05,0,5.05
00A74F4CAB098B3A345A580BFCEEA467,A2B580922A9DC7AB01A93189B1C84076,BTS,1/13/2013 3:13,CSH,20.5,0.5,0.5,0,0,21.5
